dwarka is also a dhaam among the chaar dhaams	द्वारका चार धामों में एक धाम भी है
two huge statues of lord ganesha built with sand stone are surprising	गणेश भगवान की दो विशाल बलुआ पत्थर से बनी प्रतिमायें आश्चर्यचकित कर देती हैं
mamabhanja temple is excellent in view of the sculpture and worth visit	मामाभांजा मंदिर शिल्प की दृष्टि से उत्कृष्ट एवं दर्शनीय है
the vishnu temple of narayanpal was built by queen gundamahadevi of king dharavarsha of chhindak nag dynasty about kilometres away from jagdalpur in the bastar developmental block of bastar district	बस्तर जिले के विकास खण्ड बस्तर में जगदलपुर से करीब किलोमीटर दूर छिंदक नागवंशी राजा धारावर्षा की रानी गुण्डमहादेवी द्वारा नारायणपाल के विष्णु मंदिर को ईसन् में बनवाया गया
the son gundamahadevi someshvar dev was an influential king	गुण्डमहादेवी का पुत्र सोमेश्वर देव एक प्रतापी राजा था
by the completion of the vishnu temple of narayanpal dharavarsha and someshwar dev had died	नारायणपाल के विष्णु मंदिर के पूर्ण होतेहोते धारावर्षा एवं सोमेश्वर देव दिवंगत हो चुके थे
and there was the regime of chhindak nagvanshi king kanhar dev the grand son of gundamahadevi	एवं गुण्डमहादेवी के पौत्र छिंदक नागवंशी राजा कन्हर देव का शासन था
the inscriptions of gundamahadevi and her daughterinlaw the queen of king kanhar dev are here	गुण्डमहादेवी और उसकी बहू सोमेश्वर देव की रानी के शिलालेख यहाँ पर हैं
this vishnu temple of narayanpal is a protected monument by the archaeological department	नारायणपाल का यह विष्णु मंदिर पुरातत्व विभाग द्वारा संरक्षित स्मारक है
this vishnu temple of narayan pal is also the main source collecting information of the period of regime of chhindak nag dynasty	नारायण पाल का यह विष्णु मंदिर छिंदक नागवंशी शासन के समय की जानकारी प्राप्त करने का मुख्य स्त्रोत भी है
situated at the confluence of the shankhini and the dankini rivers dantewada is at a distance of kilometres from jagdalpur	शंखनी एवं डंकनी नदी के संगम स्थल पर स्थित दण्तेवाड़ा जगदलपुर से किलोमीटर की दूरी पर स्थित है
the ancient temple of the deity of bastar ma danteshwari devi is here	यहाँ बस्तर की आराध्य देवी माँ दंतेश्वरी देवी का प्राचीन मंदिर है
danteshwari devi is the symbol of the residents of bastar	दंतेश्वरी देवी बस्तर के रहवासियों की आस्था का प्रतीक है
during dashahra tourists of the world come to bastar	दशहरे के समय देशविदेश के पर्यटक बस्तर आते है
for the devotees coming on foot the facilities of free food breakfast lodging and medical treatment is made available by volunteer organizations	पैदल चलकर आने वाले श्रद्धालुओं के लिये विभिन्न स्वयं सेवी संस्थाओं के द्वारा निशुल्क भोजन नास्ते रहने एवं चिकित्सा सुविधा उपलब्ध करायी जाती है
besides the statue of danteshwari maai the statues of shiva ganesha the sun bhairava are also in bastar	बस्तर में दण्तेश्वरी माई के अलावा शिव गणेश विष्णु सूर्य भैरव की प्रतिमाएँ हैं
these statues are also important from the archaeological point of view	ये प्रतिमाएँ पुरातात्विक दृष्टि से भी अत्यंत महत्वपूर्ण हैं
watching the excavation of iron ore in bailadila is also a grand experience	बैलाडीला में लौह अयस्क का खनन देखना भी अद्भुत अनुभव होता है
mines of n are in bacheli and kirandool	बचेली एवं किरंदूल में एनएमडीसी की खदाने हैं
one can stay in the guest house in bailadila	बैलाडीला में गेस्ट हाऊस में रुका जा सकता है
getting permission is mandatory to visit the mines of iron ore in bailadila	बैलाडीला में लौह अयस्क की खदानों को देखने के लिये अनुमति लेना आवश्यक है
the mines of bacheli are kilometres away from the township	बचेली की खदानें टाउनशिप से किलोमीटर दूर हैं
the ores of bacheli are considered to be good grade	बचेली का अयस्क अच्छे ग्रेड का माना जाता है
the percentage of iron in the ores of bacheli is up to	बचेली के अयस्क में लोहे का प्रतिशत तक रहता है
k railway line kotsavalya to kirandool	केके रेलवे लाइन कोत्सावल्या से किरन्दूल
it is a romantic experience to travel by the passenger in k railway line	केकेरेलवे लाइन में पेसेंजर से सफर करना एक रोमांचक अनुभव होता है
on the way the train passing through the dense forest and skytouching hills taking uturn and mountains peeping through the clouds present a hypnotising scene	रास्ते में घने जंगल एवं गगनचुम्बी पहाड़ियों के बीच से गुजरती ट्रैन यूटर्न लेती ट्रैन एवं बादलों के बीच से झाँकते पहाड़ मनमोहक दृश्य उपस्थित करते हैं
the kind of biodiversity seen in bastar is not found anywhere else	जो जैवविविधता बस्तर में दिखलाई पड़ती है वह अन्यत्र देखने को नहीं मिलती
in the adventurous journey to bastar falls shimliguda the highest broad gauge railway station of asia	बस्तर के रोमांच भरे सफर में एशिया का सबसे ऊँचा ब्राड गेज रेलवे स्टेशन शिमलीगुड़ा पड़ता है
sellers of the juicy fruits of palm are found throughout the way	ताड़ी के रसभरे फल लेकर बेचने वाले पूरे रास्ते में मिलते हैं
it feels good to eat juicy fruits of palm	ताड़ी के रसभरे फलों को खाना अच्छा लगता है
in this adventurous journey the train running with two electronic engines pass through tunnels	इस रोमांचकारी सफर में दो इलेक्ट्रिक इंजनों से चलने वाली ट्रैन बोगदों टनल से होकर गुजरती है
the length of k line is to metres	केके लाइन की लम्बाई से मीटर तक है
the japanese had done the construction of k line to take the iron ore or bailadila to japan through vishakhapatnam	केके लाइन का निर्माण जापानियों ने बैलाडीला के लौह अयस्क को विशाखापटनम होते हुए जापान ले जाने के लिये किया था
from vishakhapatnam the iron ore was taken to japan by ships	विशखापटनम से लौह अयस्क पानी के जहाज से जापान ले जाया जाता है
food items are not found in the journey of k line	केके लाइन के सफर में खाने पीने की सामग्री नहीं मिलती
therefore if you want to enjoy this journey take enough amount of food items along	अत यदि इस सफर का आनंद लेना हो तो खानेपीने की भरपूर सामग्री साथ लेकर चलना चाहिए
k line has been transporting iron ore since the last years	केके लाइन विगत वर्षों से लोह अयस्क का परिवहन कर रही है
on an average goods train run on the k line everyday	औसतन मालगाड़ियाँ केके रेलवे लाइन पर प्रतिदिन चलती हैं
by transporting iron ore on the kilometres long k railway line the railways gets a profit of about billion every year	किलोमीटर लम्बे इस केके रेलवे लाइन से लौह अयस्क परिवहन कर रेलवे को प्रतिवर्ष लगभग बिलियन का फायदा होता है
the world famous chitrakot waterfall is located at a distance of kilometres from jagdalpur	जगदलपुर से किलोमीटर की दूरी पर विश्वप्रसिद्ध चित्रकोट जलप्रपात स्थित है
having expanded in chitrakot the indravati river forms the charming waterfall	चित्रकोट में इन्द्रावती नदी विस्तारित होकर मनमोहक जलप्रपात का निर्माण करती है
chitrakot waterfall is also called the niagara of bastar	चित्रकोट जलप्रपात को बस्तर का नियाग्रा भी कहा जाता है
watching the chitrakot waterfall in flood lights provides quite a different kind of experience	फ्लड लाइट में जलप्रपात को देखना अलग ही अनुभव प्रदान करता है
the joy of staying in the fully furnished hut of the tourism department is quite different	पर्यटन विभाग की पूर्ण सुविधा संपन्न हट में रुकने का आनंद ही अलग है
the tamraghumad waterfall is at a distance of kilometres from the chitrakot waterfall	चित्रकोट जलप्रपात से किलोमीटर की दूरी पर तामड़ाघुमड़ जलप्रपात है
in tamraghumad waterfall rivulet falling from a height of feet forms a pleasant waterfall	तामड़ाघुमड़ जलप्रपात में एक छोटी सरिता सीधे लगभग फिट की ऊँचाई से निचले भाग में गिरकर एक मनोरम जलप्रपात का निर्माण करती है
it is good to see the waterfall by climbing down	प्रपात को नीचे से उतरकर देखना अच्छा लगता है
as the road of going down is difficult it becomes necessary to take extra caution	उतरने का मार्ग दुर्गम होने के कारण अतिरिक्त सावधानी रखना आवश्यक होता है
there is a pleasant place located in the heart of jagdalpur	जगदलपुर के हृदयस्थल में स्थित एक मनोरम स्थान है
children s park and train are available here	यहाँ बच्चों के लिये बाल उद्यान एवं रेलगाड़ी की व्यवस्था है
along with this a large skating ring attracts the youths	साथ ही एक विशाल स्केटिंग रिंग युवाओं को आकर्षित करती है
beautiful lawns and flower parks hypnotise the tourists	सुन्दर लॉन एवं पुष्प उद्यान पर्यटकों का मन मोह लेते हैं
built by the great king purushottam dev of the kakatiya dynasty this pond has the pride of being the largest pond of chhattisgarh	काकतीय वंश के महाराजा पुरूषोत्तम देव द्वारा बनाये गये इस तालाब को छत्तीसगढ़ के सबसे बड़े तालाब होने का गौरव प्राप्त है
this is suitable place for morning and evening walks	प्रात एवं सांयकालीन भ्रमण के लिये यह उपयुक्त स्थान है
the facility of tour with paddle boat along with motorboat is available in the island formed in the pond	तालाब में बने आइलैण्ड में मोटरबोट के साथ पैडलबोट से सैर की सुविधा उपलब्ध है
the windmill installed in the island also attracts	आइलैण्ड में लगी पवन चक्की भी आकर्षित करती है
on the main gate of the palace of bastar there is the temple of the deity of bastar maa danteshwari	बस्तर के राजमहल के मुख्य द्वार पर बस्तर की आराध्य देवी माँ दण्तेश्वरी का मंदिर है
along with the temple the large chariot running during dashahara can also be seen at its gate	मंदिर के साथ दशहरे पर चलने वाले विशाल रथ भी इसके द्वार पर देखे जा सकते हैं
the statue of the last great king pravirchandra bhanjadeva of the kakatiya dynasty of bastar in front of the danteshwari temple is a symbol of faith the bastar residents	दण्तेश्वरी मंदिर के सामने बस्तर के काकतीय वंश के अंतिम महाराजा प्रवीरचन्द्र भंजदेव की प्रतिमा बस्तर वासियों की आस्था का प्रतीक है
the grand temple of lord balaji is on the dharampura road	धरमपुरा रोड पर भगवान बालाजी का भव्य मंदिर है
devotees from not only the state but other parts of the country also come to visit in the temple of balaji of dharampura road	धरमपुरा रोड के बालाजी के मंदिर में प्रदेश ही नहीं वरन देश के अन्य भागों से भी श्रद्धालु दर्शन करने आते हैं
the state of kerala is very popular among tourists	केरल प्रांत पर्यटकों में बेहद लोकप्रिय है
that is why kerala is called god s own country	इसीलिए केरल को अर्थात् ईश्वर का अपना घर नाम से पुकारा जाता है
there are several types of visiting places in kerala	केरल में अनेक प्रकार के दर्शनीय स्थल हैं
main among the important visiting places of kerala are	केरल के प्रमुख दर्शनीय स्थलों में प्रमुख हैं पर्वतीय तराइयाँ समुद्र तटीय क्षेत्र अरण्य क्षेत्र तीर्थाटन केन्द्र आदि
innumerous tourists from the world over come for tour to these places	इन स्थानों पर देशविदेश से असंख्य पर्यटक भ्रमणार्थ आते हैं
mountainous areas like munnar nelliyanpati ponmuti etc sea coasts like kovalam warkala cherayi etc wildlife centres like periyar iravikulam etc are the centres of attraction for kollam and alapuzha	मुन्नार नेल्लियांपति पोन्मुटि आदि पर्वतीय क्षेत्र कोवलम वर्कला चेरायि आदि समुद्र तट पेरियार इरविकुळम आदि वन्य पशु केन्द्र कोल्लम अलप्पुष़ा के लिए विशेष आकर्षण केन्द्र हैं
among indian medical systems ayurveda also has an important contribution in the area of tourism	भारतीय चिकित्सा पद्धति में आयुर्वेद का भी पर्यटन के क्षेत्र में महत्वपूर्ण योगदान है
tourism has played a defining role in the economy of the state	राज्य की आर्थिक व्यवस्था में भी पर्यटन ने निर्णयात्मक भूमिका निभाई है
daman and diu are also among the national territories of india	भारत के केन्द्रशासित प्रदेशों में दमन और दीव भी है
unfathomable waters of the arabian sea have made them main centres of trade and tourism	अरब सागर की अपारअगाध जलराशि ने इन्हें व्यापार और पर्यटन का प्रमुख केन्द्र बना दिया है
there are several small islands in daman and diu	दमन और दीव में बहुत छोटेछोटे द्वीप हैं
natural beauty mix of diverse cultures and beautiful sea coasts has gifted abundant beauty to daman and diu	प्राकृतिक सुंदरता विविध संस्कृतियों का मेल व सुंदर समुद्र तटों ने दमन और दीव को असीम खूबसूरती से नवाजा है
nearness of the states of gujarat and maharashtra has given the tourism here a full opportunity to flourish	गुजरात व महाराष्ट्र राज्य की नजदीकी ने यहाँ के पर्यटन को फलनेफूलने का पूरा मौका दिया है
for a long time daman and diu were governed by the portuguese	बहुत समय तक दमन और दीव पर पुर्तगालियों का शासन था
after that having become independent of the portuguese daman and diu were merged with goa	उसके बाद पुर्तगालियों से आजाद कराकर दमन और दीव को गोआ में मिला दिया गया
in daman and diu were given the status of a separate national territory	वर्ष में दमन और दीव को एक अलग केन्द्रशासित प्रदेश का दर्जा दिया गया
the distance of daman from mumabi the main trade center of india is about kilometres	भारत के प्रमुख व्यावसायिक केन्द्र मुंबई से दमन की दूरी लगभग किमी है
daman is attached to the state of gujarat in the east and the arabian sea in the west	दमन पूर्व में गुजरात राज्य से तथा पश्चिम में अरब सागर से जुड़ा है
in the north of daman is kolak and in the south kalai river	दमन के उत्तर में कोलाक तथा दक्षिण में कलाई नदी है
the neighbor district of daman is the valsad district of gujarat	दमन का पड़ोसी जिला गुजरात का वलसाड जिला है
diu is such an island of india which is attached with two bridges	दीव भारत का एक ऐसा द्वीप है जो दो पुलों के द्वारा जुड़ा है
diu is joined with junagarh district of gujarat	दीव गुजरात के जूनागढ़ जिले से जुड़ा है
daman is divided into two as motidaman and nanidaman	दमन दो भागों में मोटी दमन और नानी दमन में विभाजित है
the river dividing daman into two parts is damanganga river	दमन के दोनों भागों को विभक्त करने वाली नदी दमनगंगा नदी है
there are several old churches in motidaman among which the main church is the cathedral bom jesus	मोटी दमन में कई पुराने चर्च हैं जिनमें प्रमुख चर्च कैथेडरल बोल जेसू है
the paintings related to the life of jesus the messiah on the walls of the churches of daman and the fine carvings on the wood draw the tourists here	दमन के चर्च की दीवारों पर की गई ईसा मसीह के जीवन से संबंधित सुंदर चित्रकारी व लकड़ी की बेहतरीन नक्काशी पर्यटकों को यहाँ खींच लाती है
the main attraction of nanidaman is the saint jerome fort	नानी दमन का मुख्य आकर्षण संत जैरोम का किला है
the jerome fort of daman was built for defense from the attacks of the mughals	दमन का जैरोम किला मुगलों के आक्रमण से सुरक्षा के लिए बनाया गया था
besides this among other tourist attractions of daman are bom jesus church our lady of the church our lady of remidio s church pargoal garden amusement park damanganga tourist complex kachigam satya sagar udyan mirasol garden mirasol water park etc	इसके अलावा दमन के अन्य पर्यटक आकर्षणों में बोम जीजस चर्च अवर लेडी ऑफ सी चर्च अवर लेडी ऑफ रेमीडियोज चर्च परगोला गार्डन अम्यूजमेंट पार्क दमनगंगा टूरिस्ट कॉम्प्लेक्स काचीगाम सत्य सागर उद्यान मिरासोल गार्डन मिरासोल वाटर पार्क आदि हैं
the arabian sea touching the lands of daman has provided daman with unique natural beauty and greenery	दमन की जमीन को छूते अरब सागर ने दमन को अप्रतिम प्राकृतिक सुंदरता व हरियाली प्रदान की है
there are two beaches in daman devika beach and the jampore beach	दमन में दो बीच देविका बीच और जैमपोरे बीच हैं
devika beach is five kilometres north from daman	देविका बीच दमन से पाँच किमी उत्तर में है
devika beach very much lures the children because there are parks for the children and other facilities here	देविका बीच बच्चों को बहुत लुभाता है क्योंकि यहाँ बच्चों के लिए पार्क व अन्य सुविधाएँ हैं
located in nanidaman jampore beach is a famous picnic spot also	नानी दमन में स्थित जैमपोरे बीच दमन का प्रसिद्ध पिकनिक स्पॉट भी है
the peaceful environment of jampore draws lovers to jampore beach	जैमपोरे बीच का शांत वातावरण प्रेमियों को खींच लाता है
because of peaceful environment of jampore beach most of the loving couples come here in search of freedom	जैमपोरे बीच के शांत वातावरण के कारण अधिकांश प्रेमी जोड़े यहाँ स्वच्छंदता की तलाश में आते हैं
jampore beach is a very good place for swimming also	तैराकी के लिए भी जैमपोरे बीच बहुत अच्छा स्थान है
what is there in the island	क्या है दीव में
saint paul church diu fort panikota fort ghogala beach children s park and summer house are chief tourist places of diu	सेंट पॉल चर्च दीव फोर्ट पनीकोटा फोर्ट घोघला बीच चिल्ड्रन पार्क और समर हाउस दीव के मुख्य पर्यटन स्थल हैं
nagoa beach is an extremely beautiful beach of diu	नगोआ बीच दीव का बेहद ही सुंदर बीच है
you can easily reach nagoa beach after a minute drive from diu	दीव से मिनट की ड्राइव करके आप आसानी से नगोआ बीच पहुँच सकते हैं
due to being in the shape of a shoe the nagoa island spread in k has now become the first choice of tourists	जूते के आकार के समान होने के कारण किमी तक फैला नगोआ द्वीप अब पर्यटकों की पहली पसंद बन रहा है
chakratirtha beach is rich with the beauty of greenery	चक्रतीर्थ बीच हरियाली के सौंदर्य से भरपूर है
beautiful gardens near the chakratirtha beachand an open stadium make it a place of full enjoyment for the tourists	चक्रतीर्थ बीच के आसपास स्थित सुंदर बगीचे खुला स्टेडियम इसे पर्यटकों के लिए फुल इंजॉयमेंट का स्थान बनाता है
when to go to daman and diu	कब जाएँ दमन और दीव
although the climate of daman and diu attracts tourists throughout the year but suitable season to come here is from october to may	वैसे तो दमन और दीव की जलवायु वर्षभर पर्यटकों को आकर्षित करती है किंतु यहाँ आने का उपर्युक्त मौसम अक्टूबर से मई तक का है
how to reach daman and diu	कैसे पहुँचें दमन और दीव
daman has kilometres of road and the road in diu is up to kilometres long	दमन में किमी का सड़क मार्ग है तथा दीव में किमी तक लंबा सड़क मार्ग है
daman is situated on the delhimumbai route of the western railway	दमन पश्चिम रेलवे के दिल्लीमुंबई रूट पर स्थित है
the nearby railway station of daman is vapi of gujarat	दमन का नजदीक दमन रेलवे दमन स्टेशन दमन गुजरात दमन का वापी है
diu is attached with metre gauge railway line	दीव मीटर दमन गेज दमन रेलवे दमन लाइन दमन से जुड़ा है
the nearby railway station of diu is dilwada	दीव दमन का नजदीकी दमन रेलवे दमन स्टेशन दमन दिलवाड़ा है
daman and diu both are attached to airport	दमन और दीव दोनों एयरपोर्ट से जुड़े हैं
several flights take off for mumbai from diu	दीव से मुंबई के लिए रोजाना कई उड़ानें भरी जाती हैं
the main centres of temple building activities of rajasthan	राजस्थान के मंदिर निर्माण गतिविधियों निर्माण के प्रमुख केन्द्र
temple building activities in udaipur area of mewar	मेवाड़ उदयपुर क्षेत्र में मंदिरनिर्माण गतिविधियाँ
in comparison with vishnu and shiva the worship of shakti was more popular in the postgupta period mewar	उत्तर गुप्तकाल में मेवाड़ क्षेत्र में विष्णु एवं शिव की अपेक्षा शक्ति पूजा अधिक प्रचलित थी
temples built at places like jagat and unwas are powerful examples of the popularity of shakt sect	जगत और उनवास जैसे स्थानों पर बने मंदिर शाक्त संप्रदाय की लोकप्रियता के सशक्त उदाहरण हैं
in the temples of jagat and unwas the mahishamardini form of durga has been glorified	जगत और उनवास के मंदिरों में दुर्गा के महिषमर्दिनी रूप को महिभान्वित किया गया है
among the people of vaishnava sect laxminarayan and varaha forms of vishnu were specially worshipped	वैष्णव संप्रदाय के लोगों के बीच विष्णु के लक्ष्मीनारायण और वराह विग्रहों की पूजा विशेष रूप से होती थी
built temples of gods of shiva and the sun are found very rarely in the mewar udaipur region	मेवाड़ उदयपुर क्षेत्र में शिव एवं सूर्य देवताओं के बने मंदिर अत्यंत कम प्राप्त होते हैं
the renowned places for temple building activities of the mewar province are being described	मेवाड़ प्रान्त के मंदिर निर्माण गतिविधियों के लिए प्रसिद्ध क्षेत्रों का उल्लेख किया जा रहा है
the oldest vaishnav and sun temples in mewar were built in chittorgarh	मेवाड़ में सबसे प्राचीन वैष्णव एवं सौर मंदिरों का निर्माण चित्तौड़गढ़ में हुआ था
political and religious history and geographical location of fort have influenced the building and renovation of temples	दुर्ग के राजनीतिक एवं धार्मिक इतिहास तथा भौगोलिक परिवेश ने मंदिरों के निर्माण एवं जीर्णोद्धार को प्रभावित किया है
with the archival and archaeological evidences it is found that from second century b till seventh century a vaishnav religion was popular in this region	अभिलेखीय एवं पुरातात्विक प्रमाणों द्वारा यह ज्ञात होता है कि ईसवी पूर्व द्वितीय शताब्दी से सातवीं शताब्दी तक इस क्षेत्र में वैष्णव धर्म लोकप्रिय था
besides this in mewar evidences of several ancient pilgrimage related to the religions of shaiv shakta saur buddhists and jains are found	इसके अलावा मेवाड़ में शैव शाक्त सौर बौद्ध व जैन धर्मों से संबद्ध भी कई प्राचीन तीर्थस्थल के प्रमाण मिलते हैं
the statues of meditating buddha are depicted on the crevices of the wall on all the four sides of some daan stupas of th th century	वीं वीं सदी के मिले कुछ दान स्तूप जिनका आधार वर्गाकार है के चारों ओर की ताखों में ध्यान मुद्रा में बैठे हुए बुद्ध की प्रतिमाएँ अंकित हैं
apart from this temples of th century are found as well	इसके अलावा भी वीं सदी के कई मंदिर मिलते हैं
during the difference of th to th century chittor was continuously the main center of activities like temple building and other sculpting renovation etcetera	वीं से वीं सदी के अंतराल में चित्तौड़ निरंतर मंदिर एवं अन्य वास्तु निर्माण जीर्णोद्धार आदि गतिविधियों का प्रमुख केन्द्र था
in this period the regime of maharana kumbha is specially notable for these activities	इस अवधि में महाराणा कुंभा का राज्यकाल ई इन गतिविधियों के लिए विशेष उल्लेखनीय है
materials used for construction were brought from nagari	भवननिर्माण के लिए उपयोग में आने वाली सामग्री नागरी से लायी जाती थी
the abundance of available stones also has influenced the architecture in the mewar region	उपलब्ध पाषाणों की प्रचुरता ने भी मेवाड़ क्षेत्र में वास्तुनिर्माण को प्रभावित किया है
some main temples of mewar are being described thus	मेवाड़ के कुछ प्रमुख मंदिरों की चर्चा इस प्रकार की जा रही है
kalika mata mandir was basically a sun temple	कालिका माता मंदिर मूलतः एक सूर्य मंदिर था
based on the archival evidence the kalika mata mandir can be ascertained to be of the initial period of th century	अभिलेखीय प्रमाण के आधार पर कालिका माता मंदिर को वीं शताब्दी के प्रारंभिक काल का निश्चित किया जा सकता है
kalika mata mandir was renovated in time	कालिका माता मंदिर का समयांतर में जीर्णोद्धार किया गया
pancharath sanctum sanctorum mandap abhyantariya pradakshina path and dwarmandap are built in kalika mandir	कालिका माता मंदिर में पंचरथ गर्भगृह मंडप आम्यन्तरीय प्रदक्षिणा पथ और द्वारमंडप निर्मित हैं
statues of chariot riding sun god is honourably installed in two of the three main crevices of the sanctum sanctorum while in minor crevices the statues of chandra and other direction gods are carved	गर्भगृह की बाह्य तीनों प्रमुख ताखों में से दो में रथारुढ़ सूर्यदेव की प्रतिमाएँ प्रतिष्ठित हैं जबकि गौण ताखों में चन्द्र तथा अन्य दिक्पालों की प्रतिमाएँ उत्कीर्ण हैं
the decoration of the arch and threshold of the entrance of the sanctum sanctorum is specially notable	गर्भगृह के प्रवेश द्वार का सिरदल एवं चौखट का अलंकरण विशेष रूप से उल्लेखनीय हैं
on both sides of the threshold the goddesses of the ganges and the yamuna river seated on their carriers are carved	चौखट पर दोनों ओर गंगा तथा यमुना नदी देवियाँ अपने वाहनों पर आरुढ़ अंकित की गई है
kurmavatar umamaheshwar and lakulish statues carved in the temple indicate the initial stage of sculpture	मंदिर में अंकित कूर्मावतार उमामाहेश्वर तथा लकुलीश मूर्तियाँ प्रतिमा विज्ञान की प्रारंभिक अवस्था को इंगित करता है
kurmavatar umamaheshwar and lakulish statues carved in the temple later achieve maturity	मंदिर में अंकित कूर्मावतार उमामाहेश्वर तथा लकुलीश मूर्तियाँ बाद में प्रौढ़ता प्राप्त कर लेते हैं
the top of the temple is a completely new construction	मंदिर का शिखर पूर्णतः नवीन रचना है
in place of th century arch style dome like new top has been built	वीं शताब्दी की शिखर शैली के स्थान पर गुंबदाकार नया शिखर बनाया गया है
two half pictures and one lakulish statue attached on the internal wall of the canopy seem to be installed later	मंडप की आम्यंतरीय भित्ति पर लगी दो अर्द्धचित्र तथा एक लकुलीश प्रतिमा बाद में लगाई गई लगती है
in fact the original place of these rock plates would have been on the platform of the temple	वस्तुतः इन शिलापट्टों का मूल स्थान मंदिर की जगती पर रहा होगा
the subject matter of the half picture plates is dance music and drinking	अर्द्धचित्र पट्टों की विषयवस्तु नृत्य संगीत एवं पान गोष्ठी है
basically the temple was built on a large platform	मूलतः मंदिर एक विशाल जगती पर बना था
some constituents of the large platform of the temple are still left	मंदिर की विशाल जगती के कुछ गढ़ने अभी भी शेष हैं
for communication of light and air in the circumambulation path of the sanctum sanctorum two ventilators on four pillars have been built	गर्भगृह के प्रदक्षिणापथ में प्रकाश एवं वायु संचार के लिए दो भद्रावलोकन चार स्तंभों पर बनाये गये हैं
kumbhaswami or kumbhashyam was originally a vaishnav temple	कुंभस्वामी या कुंभश्याम मंदिर मूलतः वैष्णव मंदिर था
according to the kirti stambha edicts renovation of the kumbhaswami or kumbhashyam temple was done by king kumbhakarna maharana kumbha	कीर्ति स्तंभ प्रशस्ति के अनुसार कुंभस्वामी या कुंभश्याम मंदिर का जीर्णोद्धार नृपति कुंभकर्ण महाराणा कुंभा के द्वारा करवाया गया था
due to renovation being done by maharana kumbha it started to be known with the names like kumbhaswami and kumbhashyam etc	महाराणा कुंभा के द्वारा जीर्णोद्धार किए जाने के कारण इसे कुंभस्वामी और कुंभश्याम जैसे नामों से जाना जाने लगा
this temple is contemporary of the kalika mata temple and its architecture planning and style also matches with it	यह मंदिर कालिका माता मंदिर का ही समकालीन है तथा इसकी वास्तु योजना तथा शैली भी इससे मिलतीजुलती है
on the one side where the architecture plan of the temple prominent and blank back undecorated thighs and circumambulation path the god statues of the outer crevices of the sanctum sanctorum seem to be a construction of th century	एक तरफ जहाँ मंदिर की वास्तु योजना उन्नत एवं सादी पीठ अलंकरण रहित जंघा एवं प्रदक्षिणापथ गर्भगृह के बाह्य ताखों की देव प्रतिमाएँ तथा अंतराल के अर्द्धस्तंभों की प्रतिमाएँ वीं सदी की रचना प्रतीत होती है
due to being built in different periods this temple of kumbhaswamy has cherished several examples of architecture styles and statue crafts	कुंभस्वामी का यह मंदिर विभिन्न कालों में निर्मित होने के कारण कई वास्तु शैलियों एवं मूर्ति शिल्पों का उदाहरण संजोये हुए है
according to shri dhaki it was king manbhanga who built this temple also	श्री ढाकी के अनुसार राजा मानभंग ने ही इस मंदिर का भी निर्माण किया
king manbhanga has the credit of building the temples like kalika mata sun temple the nearby tadaga and tripurvijaya prasada etc	राजा मानभंग को कालिका माता सूर्य मंदिर निकटवर्टी तड़ाग तथा त्रिपुरविजय प्रासाद आदि के निर्माण का श्रेय है
